Naslov,Avtor,Leto izida,Dolžina,Točke,Ocena,Število bralcev
Sub Rosa,Robert Aickman,1968,,96,4.72,95
The Golden Enemy,Alexander Key,1969,176,95,3.86,59
"Elric: To Rescue Tanelorn (Chronicles of the Last Emperor of Melniboné, #2)",Michael Moorcock,2008,460,94,3.99,617
Jim Button and Luke the Engine Driver,Michael Ende,1960,226,94,4.26,8794
"Elric: The Sleeping Sorceress (Chronicles of the Last Emperor of Melniboné, #3)",Michael Moorcock,1971,350,93,4.07,820
"Flat Stanley (Flat Stanley, #1)",Jeff Brown,1964,96,93,3.85,16067
Michael Moorcock's Elric: The Making of a Sorcerer,Michael Moorcock,2005,208,92,3.93,675
"Elric: Swords and Roses (Chronicles of the Last Emperor of Melniboné, #6)",Michael Moorcock,2010,496,91,3.99,226
"Duke Elric (Chronicles of the Last Emperor of Melniboné, #4)",Michael Moorcock,2009,368,90,4.01,279
Elric,Michael Moorcock,2001,416,89,4.1,3001
"Elric in the Dream Realms (Chronicles of the Last Emperor of Melniboné, #5)",Michael Moorcock,2009,448,88,3.97,261
"Atlan (Atlan, #2)",Jane Gaskell,1965,334,70,3.59,140
Higglety Pigglety Pop! or There Must Be More to Life,Maurice Sendak,1967,69,61,4.19,1800
"The Earthsea Trilogy (Earthsea Cycle, #1-3)",Ursula K. Le Guin,1968,478,7007,4.28,20933
The Princess Bride,William Goldman,1973,429,6363,4.27,908428
The Silmarillion,J.R.R. Tolkien,1977,386,6334,4.01,299456
"Dragonsong (Harper Hall, #1)",Anne McCaffrey,1976,192,5393,4.25,56458
"Nine Princes in Amber (The Chronicles of Amber, #1)",Roger Zelazny,1970,175,4532,4.05,58279
The Neverending Story,Michael Ende,1979,396,4364,4.18,204681
The Stand,Stephen King,1978,1152,4262,4.35,772529
"The Sword of Shannara (The Original Shannara Trilogy, #1)",Terry Brooks,1977,726,4215,3.77,97591
"A Spell for Chameleon (Xanth, #1)",Piers Anthony,1977,344,4039,3.92,46480
"Watership Down (Watership Down, #1)",Richard  Adams,1972,478,3866,4.08,485137
"The Tombs of Atuan (Earthsea Cycle, #2)",Ursula K. Le Guin,1971,180,3771,4.13,120870
"Lord Foul's Bane (The Chronicles of Thomas Covenant the Unbeliever, #1)",Stephen R. Donaldson,1977,480,3685,3.72,48389
"Elric of Melniboné (The Elric Saga, #1)",Michael Moorcock,1972,181,3617,3.89,28781
"Dragonsinger (Harper Hall, #2)",Anne McCaffrey,1977,288,3576,4.3,46909
"The White Dragon (The Dragonriders of Pern, #3)",Anne McCaffrey,1978,468,3353,4.19,48255
The Forgotten Beasts of Eld,Patricia A. McKillip,1974,343,3173,4.07,19176
"The Crystal Cave (Arthurian Saga, #1)",Mary  Stewart,1970,494,2953,4.13,46834
"Riddle-Master (Riddle-Master, #1-3)",Patricia A. McKillip,1976,578,2881,4.22,11004
"The Shining (The Shining, #1)",Stephen King,1977,497,2670,4.27,1522962
Beauty: A Retelling of the Story of Beauty and the Beast,Robin McKinley,1978,256,2508,4.05,80693
"Swords and Deviltry (Fafhrd and the Gray Mouser, #1)",Fritz Leiber,1970,254,2478,3.86,12947
"The Farthest Shore (Earthsea Cycle, #3)",Ursula K. Le Guin,1972,259,2413,4.13,116056
’Salem’s Lot,Stephen King,1975,483,2395,4.06,466976
"Dragonquest (Dragonriders of Pern, #2)",Anne McCaffrey,1971,350,2317,4.1,50607
"The Dark Is Rising (The Dark is Rising, #2)",Susan Cooper,1973,244,2275,4.04,57922
"The Source of Magic (Xanth, #2)",Piers Anthony,1979,326,2114,3.89,25637
"Dragondrums (Harper Hall, #3)",Anne McCaffrey,1979,243,2018,4.1,36772
"The Guns of Avalon (The Chronicles of Amber, #2)",Roger Zelazny,1972,223,1843,4.14,24501
"Mrs. Frisby and the Rats of NIMH (Rats of NIMH, #1)",Robert C. O'Brien,1971,240,1812,4.16,180006
"Deryni Rising (The Chronicles of the Deryni, #1)",Katherine Kurtz,1970,271,1540,3.96,7550
Carrie,Stephen King,1974,272,1454,3.99,741926
"The Power That Preserves (The Chronicles of Thomas Covenant the Unbeliever, #3)",Stephen R. Donaldson,1978,480,1390,4.03,25005
"The Illearth War (The Chronicles of Thomas Covenant the Unbeliever, #2)",Stephen R. Donaldson,1978,527,1388,4.02,27784
The Dead Zone,Stephen King,1979,402,1372,3.96,226777
"Heir of Sea and Fire (Riddle-Master, #2)",Patricia A. McKillip,1977,213,1362,4.15,8111
"The Riddle-Master of Hed (Riddle-Master, #1)",Patricia A. McKillip,1976,229,1350,3.99,12675
"Harpist in the Wind (Riddle-Master, #3)",Patricia A. McKillip,1979,263,1227,4.18,7636
"A Wind in the Door (Time Quintet, #2)",Madeleine L'Engle,1973,236,1207,3.99,128352
"A Swiftly Tilting Planet (Time Quintet, #3)",Madeleine L'Engle,1978,278,1197,4.08,109175
"Greenwitch (The Dark is Rising, #3)",Susan Cooper,1974,147,1144,4.0,30992
"The Grey King (The Dark is Rising, #4)",Susan Cooper,1975,165,1079,4.16,39260
"Silver on the Tree (The Dark is Rising, #5)",Susan Cooper,1977,274,1057,4.11,34963
"The Courts of Chaos (The Chronicles of Amber, #5)",Roger Zelazny,1978,189,1057,4.18,23382
"The Hollow Hills (Arthurian Saga, #2)",Mary  Stewart,1973,475,1039,4.25,22360
Night's Master  (Tales from the Flat Earth #1),Tanith Lee,1978,208,1000,4.04,3036
"The Dragon and the George (Dragon Knight, #1)",Gordon R. Dickson,1976,286,996,3.9,6543
"Sign of the Unicorn (The Chronicles of Amber, #3)",Roger Zelazny,1975,192,962,4.14,19894
"The Last Enchantment (Arthurian Saga, #3)",Mary  Stewart,1979,513,950,4.18,16274
"The Hand of Oberon (The Chronicles of Amber, #4)",Roger Zelazny,1976,188,949,4.21,19924
"Interview with the Vampire (The Vampire Chronicles, #1)",Anne Rice,1976,346,854,4.02,599184
"Castle Roogna (Xanth, #3)",Piers Anthony,1979,336,843,3.9,25502
"Sorcerer's Son (The Book of Elementals, #1)",Phyllis Eisenstein,1979,384,834,3.87,682
The Drawing of the Dark,Tim Powers,1979,328,760,3.93,5009
"The Swords Trilogy (Corum, #1-3)",Michael Moorcock,1971,403,745,4.08,2916
"The Knight of the Swords (Corum, #1)",Michael Moorcock,1971,176,652,3.9,3785
The Acts of King Arthur and His Noble Knights,John Steinbeck,1976,384,628,3.83,6488
"The Sailor on the Seas of Fate (The Elric Saga, #2)",Michael Moorcock,1976,190,628,3.93,11882
The Halloween Tree,Ray Bradbury,1972,145,612,3.78,32284
"The Morgaine Saga (Morgaine & Vanye, #1-3)",C.J. Cherryh,1979,707,574,4.11,1796
"Camber of Culdi (The Legends of Camber of Culdi, #1)",Katherine Kurtz,1976,314,572,3.91,5546
Death's Master,Tanith Lee,1979,348,545,4.23,1377
Tuck Everlasting,Natalie Babbitt,1975,148,535,3.9,278114
Gloriana,Michael Moorcock,1978,496,529,3.64,2269
Jack of Shadows,Roger Zelazny,1972,236,517,3.99,7040
"The Eternal Champion (Eternal Champion, #1)",Michael Moorcock,1970,484,489,3.93,2940
"Saint Camber (The Legends of Camber of Culdi, #2)",Katherine Kurtz,1978,449,486,4.02,4741
"Sideways Stories from Wayside School (Wayside School, #1)",Louis Sachar,1978,144,475,4.16,98275
"Watchtower (Chronicles of Tornor, #1)",Elizabeth A. Lynn,1979,220,451,3.58,1004
Night Shift,Stephen King,1978,409,437,4.04,184583
Flashing Swords! #1,Lin Carter,1973,267,431,3.92,613
"The Chronicles of Corum (Corum, #4-6)",Michael Moorcock,1971,382,421,4.04,1721
"The Bull and the Spear (Corum, #4)",Michael Moorcock,1973,159,400,3.88,1608
In the Night Kitchen,Maurice Sendak,1970,40,400,4.0,18400
"The Oak and the Ram (Corum, #5)",Michael Moorcock,1973,160,395,3.86,1401
"The Sword and the Stallion (Corum, #6)",Michael Moorcock,1974,160,390,3.88,1391
Strega Nona,Tomie dePaola,1975,44,389,4.26,88953
Merlin's Ring,H. Warner Munn,1974,366,382,3.72,172
"Deryni Checkmate (The Chronicles of the Deryni, #2)",Katherine Kurtz,1972,30,380,4.02,4544
"The Queen of the Swords (Corum, #2)",Michael Moorcock,1971,160,376,3.87,2552
Krabat,Otfried Preußler,1971,296,370,3.92,21823
"Charmed Life (Chrestomanci, #1)",Diana Wynne Jones,1977,252,363,3.97,34578
Our Lady of Darkness,Fritz Leiber,1977,183,359,3.61,2296
The Bloody Chamber and Other Stories,Angela Carter,1979,149,359,3.92,58657
Conan the Swordsman,L. Sprague de Camp,1978,,353,3.8,783
Grendel,John Gardner,1971,174,352,3.69,39675
Conan the Liberator,L. Sprague de Camp,1979,191,348,3.74,780
"Count Brass (Chronicles of Castle Brass, #1)",Michael Moorcock,1973,147,326,3.8,1640
"High Deryni (The Chronicles of the Deryni, #3)",Katherine Kurtz,1973,370,300,4.05,6335
"The King of the Swords (Corum, #3)",Michael Moorcock,1971,158,294,3.92,2327
"The Magic Labyrinth (Riverworld, #4)",Philip José Farmer,1980,416,292,3.7,4787
Kindred,Octavia E. Butler,1979,288,276,4.3,227452
"Under the Green Star (Green Star, #1)",Lin Carter,1972,124,274,3.5,296
The Ones Who Walk Away from Omelas,Ursula K. Le Guin,1973,32,266,4.37,43420
The Ogre Downstairs,Diana Wynne Jones,1974,234,263,3.89,2237
"Tales of Nevèrÿon (Return to Nevèrÿon, #1)",Samuel R. Delany,1979,260,260,3.93,1591
Eight Days of Luke,Diana Wynne Jones,1975,226,260,3.9,3213
