Naslov,Avtor,Leto izida,Dolžina,Točke,Ocena,Število bralcev 
"The Shores of Spain (The Golden City, #3)",J. Kathleen Cheney,2015,415,80,3.9,287
Recovering Apollo 8 and Other Stories,Kristine Kathryn Rusch,2010,320,79,3.62,45
"Reap the Wind (Cassandra Palmer, #7)",Karen Chance,2015,514,79,4.07,5439
"Spell Bound (Women of the Otherworld, #12)",Kelley Armstrong,2011,352,79,4.24,15365
"Legend: The Graphic Novel (Legend: The Graphic Novel, #1)",Marie Lu,2015,160,79,3.87,6000
"Hidden Spark (Dark Magic Enforcer, #6)",Al K. Line,2016,307,79,4.29,451
"Cursed (Alex Verus, #2)",Benedict Jacka,2012,293,79,4.08,19450
Egg & Spoon,Gregory Maguire,2014,475,79,3.64,6869
In Love With Hybrids,Iris Sweetwater,2018,478,79,4.29,7
"Will of Fire (Buried Goddess Saga, #3)",Rhett C. Bruno,2019,592,79,4.36,287
Blood Heir (Blood Heir Trilogy #1),Amélie Wen Zhao,2019,496,79,3.83,15712
Tomorrow,Damian Dibben,2018,301,79,3.87,3478
"Storm Cursed (Mercy Thompson, #11)",Patricia Briggs,2019,384,79,4.43,35912
"Nicholas St. North and the Battle of the Nightmare King (The Guardians, #1)",William Joyce,2011,228,79,4.07,7689
Brimstone,Cherie Priest,2017,326,79,3.69,784
"The Scorched Earth (The Chaos Born, #2)",Drew Karpyshyn,2014,384,79,3.94,455
Caller Unknown (Karen Wilson Chronicles #1),Jennifer Brozek,2012,208,78,3.53,17
"Fury's Kiss (Dorina Basarab, #3)",Karen Chance,2012,536,78,4.27,11131
"Drink Deep (Chicagoland Vampires, #5)",Chloe Neill,2011,321,78,4.08,30848
"Thirteen (Women of the Otherworld, #13)",Kelley Armstrong,2012,444,78,4.31,13804
"Prodigy: The Graphic Novel (Legend: The Graphic Novel, #2)",Marie Lu,2016,160,78,3.98,2395
"Dead Spark (Dark Magic Enforcer, #7)",Al K. Line,2016,259,78,4.25,402
"Taken (Alex Verus, #3)",Benedict Jacka,2012,313,78,4.14,17936
"The Sin Eater's Daughter (The Sin Eater's Daughter, #1)",Melinda Salisbury,2015,312,78,3.48,16093
"Deadhouse Landing (Path to Ascendancy, #2)",Ian C. Esslemont,2017,700,78,4.48,4606
"Way of Gods (Buried Goddess, #4)",Rhett C. Bruno,2019,668,78,4.32,280
"The Lost Plot (The Invisible Library, #4)",Genevieve Cogman,2017,376,78,4.17,15969
"The Gilded Wolves (The Gilded Wolves, #1)",Roshani Chokshi,2019,388,78,3.72,47984
"Half the World (Shattered Sea, #2)",Joe Abercrombie,2015,366,78,4.19,40483
"Children of Fire (The Chaos Born, #1)",Drew Karpyshyn,2013,488,78,3.62,1096
"Magic for a Price (Allie Beckstrom, #9)",Devon Monk,2012,352,77,4.23,3228
Bones of Empire,William C. Dietz,2010,336,77,3.59,97
"The Scarlet Tides (Moontide Quartet, #2)",David Hair,2013,688,77,4.24,2986
"Spirit's End (The Legend of Eli Monpress, #5)",Rachel Aaron,2012,560,77,4.24,5264
"Hunt the Moon (Cassandra Palmer, #5)",Karen Chance,2011,419,77,4.25,17558
"Bullet (Anita Blake, Vampire Hunter, #19)",Laurell K. Hamilton,2010,356,77,3.86,34701
"A Wild Light (Hunter Kiss, #3)",Marjorie M. Liu,2010,308,77,4.08,1889
"Wild Spark (Dark Magic Enforcer, #8)",Al K. Line,2016,194,77,4.25,367
"Chosen (Alex Verus, #4)",Benedict Jacka,2013,294,77,4.23,15013
"Whatever for Hire (Magical Romantic Comedies, #4)",R.J. Blain,2018,324,77,4.31,2107
"Tome of the Undergates (Aeons' Gate, #1)",Sam Sykes,2010,612,77,3.33,1611
"Three Dark Crowns (Three Dark Crowns, #1)",Kendare Blake,2016,416,77,3.8,111885
The Thirteenth Tale,Diane Setterfield,2006,,77,3.98,315798
"Chaos Unleashed (The Chaos Born, #3)",Drew Karpyshyn,2015,416,77,3.97,308
"Beneath a Wounded Sky (The Fallen Cloud Saga, #5)",Kurt R.A. Giambastiani,2012,274,76,4.33,9
"Mage's Blood (Moontide Quartet, #1)",David Hair,2012,671,76,3.87,4866
"The Spirit War (The Legend of Eli Monpress, #4)",Rachel Aaron,2012,320,76,4.24,6162
"Hard Bitten (Chicagoland Vampires, #4)",Chloe Neill,2011,350,76,4.14,39018
"Hit List (Anita Blake, Vampire Hunter, #20)",Laurell K. Hamilton,2011,320,76,3.97,30134
"The Mortal Bone (Hunter Kiss, #4)",Marjorie M. Liu,2011,304,76,4.12,1142
Wrong Side of Hell (The DeathSpeaker Codex #1),Sonya Bateman,2016,288,76,4.04,1834
"Hidden (Alex Verus, #5)",Benedict Jacka,2014,336,76,4.2,12864
Grasshopper Jungle,Andrew  Smith,2014,388,76,3.64,18473
"Playing with Fire (Magical Romantic Comedies, #1)",R.J. Blain,2017,296,76,4.09,5305
"Black Halo (Aeons' Gate, #2)",Sam Sykes,2011,549,76,3.53,636
The Dream-Quest of Vellitt Boe,Kij Johnson,2016,172,76,3.86,4783
"Starsight (Skyward, #2)",Brandon Sanderson,2019,461,76,4.36,92905
"Marked (House of Night, #1)",P.C. Cast,2007,306,76,3.81,501457
Catalyst (Tales of the Barque Cats #1),Anne McCaffrey,2009,256,75,3.62,2469
"Kiss the Dead (Anita Blake, Vampire Hunter, #21)",Laurell K. Hamilton,2012,359,75,3.85,26084
"Labyrinth of Stars (Hunter Kiss, #5)",Marjorie M. Liu,2014,304,75,4.0,740
Fields of Blood (The Deathspeaker Codex #2),Sonya Bateman,2016,268,75,4.2,931
"Veiled (Alex Verus, #6)",Benedict Jacka,2015,296,75,4.18,11353
Centaur's Prize: Sagittarius (Zodiac Shifters #26),Catherine  Banks,2017,73,75,4.26,39
"The Skybound Sea (Aeons' Gate, #3)",Sam Sykes,2012,495,75,3.76,413
"Worm (Parahumans, #1)",Wildbow,2013,6680,75,4.6,9403
The Paper Menagerie and Other Stories,Ken Liu,2016,464,75,4.36,33089
"Dark Age (Red Rising Saga, #5)",Pierce Brown,2019,704,75,4.48,70561
The Dark Lord Clementine,Sarah Jean Horwitz,2019,336,75,4.13,1076
"A Discovery of Witches (All Souls, #1)",Deborah Harkness,2011,579,75,4.02,500652
"The Blood Curse (Cursed Kingdoms, #3)",Emily Gee,2015,447,75,4.04,1049
"The Well of Tears (The Dream Stewards, #1)",Roberta Trahan,2012,325,74,3.51,311
"Blood of Requiem (Song of Dragons, #1)",Daniel Arenson,2011,312,74,3.62,4141
"Forged in Blood I (The Emperor's Edge, #6)",Lindsay Buroker,2013,367,74,4.39,6067
"Twice Bitten (Chicagoland Vampires, #3)",Chloe Neill,2010,355,74,4.2,50773
"Affliction (Anita Blake, Vampire Hunter, #22)",Laurell K. Hamilton,2013,570,74,4.06,22213
"Dark Descendant (Nikki Glass, #1)",Jenna Black,2011,336,74,3.78,6912
"Realm of Mirrors (The DeathSpeaker Codex, #3)",Sonya Bateman,2016,271,74,4.3,821
"Burned (Alex Verus, #7)",Benedict Jacka,2016,326,74,4.28,10055
"Night of Cake & Puppets (Daughter of Smoke & Bone, #1.5)",Laini Taylor,2013,256,74,4.28,21376
Shadows on the Moon,Zoë Marriott,2011,447,74,3.88,4340
Tiger Tears: Taurus (Zodiac Shifters #35),Catherine  Banks,2018,92,74,4.36,25
"The City Stained Red (Bring Down Heaven, #1)",Sam Sykes,2014,646,74,3.68,2366
Of Sorrow and Such,Angela Slatter,2015,158,74,4.05,1818
"Darkdawn (The Nevernight Chronicle, #3)",Jay Kristoff,2019,491,74,4.3,48107
"The Prisoner of Heaven (The Cemetery of Forgotten Books, #3)",Carlos Ruiz Zafón,2011,293,74,4.13,103182
"The Fire Prince (The Cursed Kingdoms, #2)",Emily Gee,2014,559,74,3.98,1235
"The Sword of Sighs (The Age of the Flame, #1)",Greg  James,2013,170,73,3.37,373
"Jason (Anita Blake, Vampire Hunter, #23)",Laurell K. Hamilton,2014,255,73,3.55,13630
"Deadly Descendant (Nikki Glass, #2)",Jenna Black,2012,355,73,3.93,4590
"Trial by Fire (Raised by Wolves, #2)",Jennifer Lynn Barnes,2011,357,73,4.12,14199
"Return of the Hunters (The DeathSpeaker Codex, #4)",Sonya Bateman,2016,192,73,4.28,727
"Airborn (Matt Cruse, #1)",Kenneth Oppel,2004,501,73,4.18,25730
Olansia,Catherine  Banks,2018,,73,4.88,8
"The Mortal Tally (Bring Down Heaven, #2)",Sam Sykes,2016,688,73,3.98,699
"Empire of Silence (Sun Eater, #1)",Christopher Ruocchio,2018,753,73,4.06,16417
Ice Massacre,Tiana Warner,2014,375,73,4.08,2398
"We Hunt the Flame (Sands of Arawiya, #1)",Hafsah Faizal,2019,472,73,3.89,96843
"The Brightest Fell (October Daye, #11)",Seanan McGuire,2017,368,73,4.36,8815
"Son of a Trickster (Trickster, #1)",Eden Robinson,2017,319,73,3.82,13238
"Skirmish (The House War, #4)",Michelle West,2012,598,73,4.42,910
"The Domino Pattern (Quadrail, #4)",Timothy Zahn,2009,384,72,4.12,1394
"Once Upon a Tiger (Tiger Shifters, #1)",Kat Simons,2013,130,72,3.62,999
"A Trace of Moonlight (Abby Sinclair, #3)",Allison Pang,2012,381,72,3.89,1432
"Dead Ice (Anita Blake, Vampire Hunter, #24)",Laurell K. Hamilton,2015,566,72,3.96,15523
"Rogue Descendant (Nikki Glass, #3)",Jenna Black,2013,370,72,3.89,2875
"Taken by Storm (Raised by Wolves, #3)",Jennifer Lynn Barnes,2012,314,72,4.11,7617
"City of Secrets (The DeathSpeaker Codex, #5)",Sonya Bateman,2016,220,72,4.34,632
"Blood Gamble (Disrupted Magic, #2)",Melissa F. Olson,2017,301,72,4.35,3450
The One Safe Place,Tania Unsworth,2014,304,72,3.75,2359
Lion About: Virgo (Zodiac Shifters #40),Catherine  Banks,2018,128,72,4.2,10
"God's Last Breath (Bring Down Heaven, #3)",Sam Sykes,2017,704,72,4.06,460
"Nice Dragons Finish Last (Heartstrikers, #1)",Rachel Aaron,2014,287,72,4.11,13596
Descendant of the Crane,Joan He,2019,416,72,3.63,11274
"Dark Lover (Black Dagger Brotherhood, #1)",J.R. Ward,2005,393,72,4.16,339512
"House Name (The House War, #3)",Michelle West,2011,643,72,4.32,1203
"Antiphon (Psalms of Isaak, #3)",Ken Scholes,2010,384,71,3.99,969
"A Sliver of Shadow (Abby Sinclair, #2)",Allison Pang,2012,384,71,3.94,2320
"Crimson Death (Anita Blake, Vampire Hunter, #25)",Laurell K. Hamilton,2016,720,71,3.91,12823
"Divine Descendant (Nikki Glass, #4)",Jenna Black,2016,228,71,3.74,821
"Prison of Horrors (The DeathSpeaker Codex, #6)",Sonya Bateman,2016,191,71,4.26,509
"River Road (Sentinels of New Orleans, #2)",Suzanne  Johnson,2012,334,71,4.04,1674
"Oath of Fealty (Paladin's Legacy, #1)",Elizabeth Moon,2010,496,71,4.13,4984
"Kiss of a Star (Artemis Lupine, #2)",Catherine  Banks,2011,168,71,4.17,498
The Ghost Bride,Yangsze Choo,2013,368,71,3.81,34130
The House with Chicken Legs,Sophie   Anderson,2018,337,71,4.1,10316
"Cry Wolf (Alpha & Omega, #1)",Patricia Briggs,2008,294,71,4.12,104867
Empire of Wild,Cherie Dimaline,2019,300,71,3.74,11500
"Wards of Faerie (The Dark Legacy of Shannara, #1)",Terry Brooks,2012,366,70,4.05,8337
Pinion (Clockwork Earth #3),Jay Lake,2010,348,70,3.8,246
"A Brush of Darkness (Abby Sinclair, #1)",Allison Pang,2011,357,70,3.69,4310
"Rebel Heart (Dust Lands, #2)",Moira Young,2012,424,70,3.87,19881
"Cursed (The Thrice Cursed Mage, #1)",J.A. Cipriano,2017,193,70,3.68,1377
"Royal Street (Sentinels of New Orleans, #1)",Suzanne  Johnson,2012,336,70,3.68,2653
"Kings of the North (Paladin's Legacy, #2)",Elizabeth Moon,2011,478,70,4.18,3667
"Healed by Fire (Artemis Lupine, #3)",Catherine  Banks,2011,162,70,4.25,367
"The Ember Blade (The Darkwater Legacy, #1)",Chris Wooding,2018,824,70,4.21,5544
"Night and Silence (October Daye, #12)",Seanan McGuire,2018,510,70,4.37,7753
"Courting Darkness (Courting Darkness Duology, #1)",Robin LaFevers,2019,498,70,3.88,5506
"Caraval (Caraval, #1)",Stephanie Garber,2016,407,70,3.98,579329
"The Angel's Game (The Cemetery of Forgotten Books, #2)",Carlos Ruiz Zafón,2008,16,70,4.0,165814
"Oracle (The House War, #6)",Michelle West,2015,723,70,4.4,660
"Speak to the Devil (The Brothers Magnus, #1)",Dave Duncan,2010,304,69,3.5,254
"Child of the Ghosts (Ghosts, #1)",Jonathan Moeller,2011,289,69,3.94,2828
"Raging Star (Dust Lands, #3)",Moira Young,2014,432,69,3.78,8780
"Marked (The Thrice Cursed Mage, #2)",J.A. Cipriano,2016,156,69,3.8,699
"Pirate's Alley (Sentinels of New Orleans, #4)",Suzanne  Johnson,2015,352,69,4.12,739
Plus One,Elizabeth Fama,2014,373,69,3.71,3392
"Song of the Moon (Artemis Lupine, #1)",Catherine  Banks,2010,294,69,3.88,1371
"The White Tower (The Aldoran Chronicles, #1)",Michael Wisehart,,,69,4.21,5291
Cuckoo Song,Frances Hardinge,2014,409,69,3.96,8693
"The Hands of the Emperor (Lays of the Hearth-Fire, #1)",Victoria   Goddard,2019,969,69,4.45,2974
"The Shadow of the Wind (The Cemetery of Forgotten Books, #1)",Carlos Ruiz Zafón,2001,487,69,4.3,648746
"The Nature of a Pirate (Hidden Sea Tales, #3)",A.M. Dellamonica,2016,368,69,4.01,320
"Deception Peak (Ian's Realm Saga, #1)",D.L. Gardner,2012,228,68,4.29,102
Hull Zero Three,Greg Bear,2010,307,68,3.4,6262
Hidden (Hidden #1),M. Lathan,2012,241,68,3.95,2942
"The Spirit Eater (The Legend of Eli Monpress, #3)",Rachel Aaron,2010,422,68,4.09,5217
"A Perfect Blood (The Hollows, #10)",Kim Harrison,2012,438,68,4.38,37513
"Burned (The Thrice Cursed Mage, #3)",J.A. Cipriano,2016,70,68,3.82,542
"Elysian Fields (Sentinels of New Orleans, #3)",Suzanne  Johnson,2013,352,68,4.08,1264
Royally Enraged (Her Royal Harem #4),Catherine  Banks,2018,228,68,4.32,747
"Saint's Blood (Greatcoats, #3)",Sebastien de Castell,2016,576,68,4.25,9764
"The Fallout (Guardians, #2)",Lola St. Vil,2012,350,68,4.25,2784
"Priest of Bones (War for the Rose Throne, #1)",Peter McLean,2018,331,68,3.95,5730
Till Human Voices Wake Us,Victoria   Goddard,2014,362,68,4.17,238
"Shadow of Night (All Souls Trilogy, #2)",Deborah Harkness,2012,,68,4.08,246015
"A Daughter of No Nation (Hidden Sea Tales, #2)",A.M. Dellamonica,2015,352,68,3.86,528
"Diving Mimes, Weeping Czars and Other Unusual Suspects",Ken Scholes,2010,247,67,3.81,27
"Anathema (Cloud Prophet Trilogy, #1)",Megg Jensen,2011,206,67,3.61,3512
"The Spirit Rebellion (The Legend of Eli Monpress, #2)",Rachel Aaron,2010,441,67,4.05,5858
Claimed  (The Thrice Cursed Mage #5),J.A. Cipriano,2016,220,67,3.9,353
Belle Chasse (Sentinels of New Orleans #5),Suzanne  Johnson,2016,333,67,4.01,440
"Crown of Renewal (Paladin's Legacy, #5)",Elizabeth Moon,2014,529,67,4.18,2570
Beast,Donna Jo Napoli,2000,7,67,3.47,7045
"Royally Elected (Her Royal Harem, #3)",Catherine  Banks,2018,231,67,4.19,841
"Tyrant's Throne (Greatcoats, #4)",Sebastien de Castell,2017,608,67,4.42,7574
"Where Loyalties Lie (Best Laid Plans, #1)",Rob J. Hayes,2017,371,67,4.01,955
"Whiskeyjack (Greenwing & Dart, #3)",Victoria   Goddard,2018,403,67,4.33,519
"Child of a Hidden Sea (Hidden Sea Tales, #1)",A.M. Dellamonica,2014,336,67,3.57,1571
Permeable Borders,Nina Kiriki Hoffman,2012,,66,4.29,178
The Tears of Ishtar,Michael Ehart,2010,284,66,4.24,17
"Revelation (The Seven Signs, #1)",Erica Hayes,2012,336,66,3.52,118
"The Undead Pool (The Hollows, #12)",Kim Harrison,2014,423,66,4.43,29045
"Seized (The Thrice Cursed Mage, #4)",J.A. Cipriano,2016,201,66,3.84,441
"Blood Rights (House of Comarré, #1)",Kristen Painter,2011,381,66,3.75,6708
Feed,M.T. Anderson,2002,308,66,3.55,64851
Royally Exposed (Her Royal Harem #2),Catherine  Banks,2018,246,66,4.15,1045
"Children of Virtue and Vengeance (Legacy of Orïsha, #2)",Tomi Adeyemi,2019,404,66,3.89,70507
The 7 1/2 Deaths of Evelyn Hardcastle,Stuart Turton,2018,432,66,3.81,396881
"Sky Pirates (The Chronicles of Light and Shadow, #3)",Liesel Schwarz,2014,320,66,3.71,275
"The Ruins of Noe (Faerie Tales from the White Forest, #2)",Danika Dinsmore,2012,268,65,4.05,65
"Redoubtable (Kris Longknife, #8)",Mike Shepherd,2010,336,65,4.08,2996
"Blur (Night Roamers, #1)",Kristen Middleton,2012,202,65,3.5,4493
"The Witch with No Name (The Hollows, #13)",Kim Harrison,2014,462,65,4.44,25128
"Heart of Gold (Clans of Shadow, #1)",J.A. Cipriano,2016,196,65,3.68,300
"Bad Blood (House of Comarré, #3)",Kristen Painter,2011,449,65,4.02,2809
Fish Girl,David Wiesner,2017,186,65,3.71,2602
Lincoln in the Bardo,George Saunders,2017,368,65,3.75,158169
"Royally Entangled (Her Royal Harem, #1)",Catherine  Banks,2018,252,65,3.79,1908
"Bloodwitch (The Witchlands, #3)",Susan Dennard,2019,464,65,4.26,11908
"Once & Future (Once & Future, #1)",A.R. Capetta,2019,336,65,3.56,10132
"A Clockwork Heart (The Chronicle of Light and Shadow, #2)",Liesel Schwarz,2013,304,65,3.42,600
"Redemption (The Seven Signs, #2)",Erica Hayes,2013,347,64,4.0,66
"The Crown Conspiracy (The Riyria Revelations, #1)",Michael J. Sullivan,2008,296,64,4.19,24308
"Moon Sworn (Riley Jenson Guardian, #9)",Keri Arthur,2010,416,64,4.33,13147
"Feet of Clay (Clans of Shadow, #2)",J.A. Cipriano,2016,192,64,4.16,117
"Flesh and Blood (House of Comarré, #2)",Kristen Painter,2011,320,64,3.87,3513
"The Void (Witching Savannah, #3)",J.D. Horn,2014,322,64,3.89,7961
The Demon's Fair,Catherine  Banks,2018,49,64,4.12,41
"Storm of Locusts (The Sixth World, #2)",Rebecca Roanhorse,2019,313,64,4.19,10841
"Outlander (Outlander, #1)",Diana Gabaldon,1991,,64,4.26,1074070
"A Conspiracy of Alchemists (The Chronicle of Light and Shadow, #1)",Liesel Schwarz,2013,336,64,3.42,1889
"Prince of Storms (Entire and the Rose, #4)",Kay Kenyon,2010,389,63,4.03,597
The Seventh Bride,T. Kingfisher,2014,183,63,3.93,12731
"Total Eclipse (Weather Warden, #9)",Rachel Caine,2010,320,63,4.11,4496
"Fists of Iron (Clans of Shadow, #3)",J.A. Cipriano,2016,169,63,4.24,98
"Out for Blood (House of Comarré, #4)",Kristen Painter,2012,480,63,4.08,2039
The Source (Witching Savannah #2),J.D. Horn,2014,352,63,3.96,11328
A Sellsword's Compassion (The Seven Virtues #1),Jacob Peppers,2017,415,63,4.02,2613
The Cycle of Arawn: The Complete Trilogy,Edward W. Robertson,2014,1631,63,4.01,5494
"Trickster Drift (Trickster, #2)",Eden Robinson,2018,371,63,4.29,4649
Hide Me Among the Graves,Tim Powers,2012,511,62,3.59,2292
The Dark Side of Light: A Medieval Time Travel Fantasy,Susan D. Kalior,2010,616,62,3.67,12
"Night Owls (Night Owls, #1)",Lauren M. Roy,2014,296,62,3.59,1180
"Rift (Nightshade Prequel, #1; Nightshade World, #1)",Andrea Cremer,2012,430,62,4.13,8780
Pound of Flesh (Half Demon Warlock #1),J.A. Cipriano,2016,218,62,3.72,458
"Last Blood (House of Comarré, #5)",Kristen Painter,2013,464,62,4.15,1691
"It Takes a Thief to Catch a Sunrise (It Takes a Thief..., #1)",Rob J. Hayes,2014,345,62,3.93,317
The Son of the Morning (Nightfall Wars #1),Jacob Peppers,2017,360,62,4.25,1094
The People in the Trees,Hanya Yanagihara,2013,17,62,3.73,39737
Snapshots from a Black Hole & Other Oddities,K.C. Ball,2012,219,61,3.96,25
"The Clone Empire (Rogue Clone, #6)",Steven L. Kent,2010,360,61,3.84,709
"Grave Matters (Night Owls, #2)",Lauren M. Roy,2015,294,61,3.81,489
Rise (Nightshade Prequel #2; Nightshade World #2),Andrea Cremer,2013,385,61,4.19,4555
Flesh and Blood (Half Demon Warlock #2),J.A. Cipriano,2016,184,61,3.95,153
"House of the Rising Sun (Crescent City, #1)",Kristen Painter,2014,403,61,3.77,1833
The Field of the Cloth of Gold,Magnus Mills,2015,207,61,3.57,535
A Sellsword's Wrath (The Seven Virtues #2),Jacob Peppers,2018,340,61,4.18,1702
"The Last Werewolf (The Last Werewolf, #1)",Glen Duncan,2011,,61,3.45,16412
Against the Light,Dave Duncan,2012,402,60,3.5,621
"Avim's Oath (Okal Rel Saga, #6)",Lynda Williams,2010,288,60,4.4,10
"Premonitions (Arcane Underworld, #1)",Jamie Schultz,2014,384,60,3.25,228
"Nightshade (Nightshade, #1; Nightshade World, #4)",Andrea Cremer,2010,452,60,4.01,83660
Blood and Treasure (Half Demon Warlock #3),J.A. Cipriano,2017,204,60,3.97,93
"City of Eternal Night (Crescent City, #2)",Kristen Painter,2014,436,60,3.96,1023
The Dead House,Dawn Kurtagich,2015,400,60,3.67,7764
"The Legacy (The Darkness Within Saga, #1)",J.D. Franx,2016,742,60,4.13,1620
"Vision in Silver (The Others, #3)",Anne Bishop,2015,400,60,4.25,36093
Blackfish City,Sam J. Miller,2018,336,60,3.58,8911
The Universal Mirror,Gwen Perkins,2012,178,59,3.57,141
Boarding Instructions,Ray Vukcevich,2010,222,59,3.95,22
A Discourse in Steel: An Egil & Nix Novel,Paul S. Kemp,2015,336,59,4.08,1078
"The Mime Order (The Bone Season, #2)",Samantha    Shannon,2015,510,59,4.21,33329
"Splintered (Arcane Underworld, #2)",Jamie Schultz,2015,352,59,3.8,51
"Wolfsbane (Nightshade, #2; Nightshade World, #5)",Andrea Cremer,2011,390,59,4.1,47592
Heart of Stone (Fallen Angel #1),Leo  Romero,2017,338,59,3.75,97
"Garden of Dreams and Desires (Crescent City, #3)",Kristen Painter,2015,368,59,4.02,683
"Blood of the Lost (The Darkness Within Saga, #2)",J.D. Franx,2017,574,59,4.17,1043
"Marked in Flesh (The Others, #4)",Anne Bishop,2016,399,59,4.27,29685
Dracul,Dacre Stoker,2018,,59,4.14,16147
Costume Not Included,Matthew Hughes,2012,378,58,3.7,440
"Cephrael's Hand (A Pattern of Shadow & Light,  #1)",Melissa McPhail,2010,654,58,4.16,3832
"A Conversation in Blood (Egil & Nix, #3)",Paul S. Kemp,2017,288,58,4.07,437
"Shaded Vision (Otherworld / Sisters of the Moon, #11)",Yasmine Galenorn,2012,306,58,4.2,3299
"Sacrifices (Arcane Underworld, #3)",Jamie Schultz,2016,352,58,3.88,25
"Bloodrose (Nightshade, #3; Nightshade World, #6)",Andrea Cremer,2012,406,58,4.05,28633
The Blood Order (Fanghunters #2),Leo  Romero,2016,314,58,3.88,8
"A Study in Darkness (The Baskerville Affair, #2)",Emma Jane Holloway,2013,513,58,3.91,1436
"The Hunter's Kind  (The Hollow Gods, #2)",Rebecca Levene,2015,,58,3.82,276
"Fallen Sepulchre (The Darkness Within Saga, #3)",J.D. Franx,2018,476,58,4.21,579
"Etched in Bone (The Others, #5)",Anne Bishop,2017,397,58,4.32,24263
"Alice (The Chronicles of Alice, #1)",Christina Henry,2015,291,58,3.84,44698
"Of Truth and Beasts (Noble Dead Saga: Series 2, #3)",Barb Hendee,2010,432,58,4.07,1143
Near: Stories of the Near Future and the Far,Cat Rambo,2012,318,57,4.06,127
Prison Earth - Not Guilty as Charged,Clifford M. Scovell,2010,352,57,3.44,16
"The Hammer and the Blade (Egil and Nix, #1)",Paul S. Kemp,2012,410,57,3.76,2103
"Fireborn (Souls of Fire, #1)",Keri Arthur,2014,392,57,3.81,3550
Fanghunters (Fanghunters #1),Leo  Romero,2016,121,57,3.57,30
Sins of the Past (Darkness Within Saga #0.5),J.D. Franx,2013,,57,4.02,325
"Lake Silence (The World of the Others, #1; The Others, #6)",Anne Bishop,2018,402,57,4.28,16055
The Memory Police,Yōko Ogawa,1994,7,57,3.72,95681
"The Death of Nnanji (The Seventh Sword, #4)",Dave Duncan,2012,336,56,3.89,927
A Girl Called Tennyson,Joan Givner,2010,170,56,3.0,6
"Flameout (Souls of Fire, #3)",Keri Arthur,2016,384,56,4.03,1159
The Chaos Order (Fanghunters #3),Leo  Romero,2016,345,56,4.12,8
"The Pillars of Sand (Echoes of Empire, #3)",Mark T. Barnes,2014,488,56,4.2,526
"Wild Country (The World of the Others, #2; The Others, #7)",Anne Bishop,2019,492,56,4.27,12019
The Buried Giant,Kazuo Ishiguro,2015,12,56,3.58,108421
"Between Their Worlds (Noble Dead Saga: Series 3, #1)",Barb Hendee,2012,436,56,4.04,856
"The Apocalypse Codex (Laundry Files, #4)",Charles Stross,2012,336,55,4.18,11074
Second Childhood,Donna McMahon,2010,372,55,3.7,10
"Wicked Embers (Souls of Fire, #2)",Keri Arthur,2015,357,55,3.88,1703
The Claw Order (Fanghunters #4),Leo  Romero,2016,327,55,4.29,7
"House of Furies (House of Furies, #1)",Madeleine Roux,2017,416,55,3.77,7716
"Endurance (Green Universe, #2)",Jay Lake,2011,320,54,3.72,520
Pock's World,Dave Duncan,2010,280,54,3.46,148
"Dead Spots (Scarlett Bernard, #1)",Melissa F. Olson,2012,293,54,3.9,9201
Fire Sorcerer (The Sentinels #1),David J. Normoyle,2016,288,54,3.54,127
"The Silent Army (Seven Forges, #4)",James A. Moore,2016,393,54,3.77,892
"Legends of Ahn (King's Dark Tidings, #3)",Kel Kade,2017,574,54,4.2,13466
"Burn for Me (Hidden Legacy, #1)",Ilona Andrews,2014,382,54,4.31,63749
The Library at Mount Char,Scott  Hawkins,2015,17,54,4.09,59577
"First and Last Sorcerer (Noble Dead Saga: Series 3, #4)",Barb Hendee,2015,341,54,4.16,435
"When the Saints (The Brothers Magnus, #2)",Dave Duncan,2011,336,53,3.6,155
Stuff of Legends,Ian    Gibson,2010,304,53,3.5,101
Seven Sorcerers (Books of the Shaper: #3),John R. Fultz,2013,449,53,4.0,81
"Trail of Dead (Scarlett Bernard, #2)",Melissa F. Olson,2013,295,53,4.09,6595
Fire Summoning (The Sentinels #2),David J. Normoyle,2016,224,53,3.9,51
"Firebrand (Green Rider, #6)",Kristen Britain,2017,784,53,4.3,6017
Little Heaven,Nick Cutter,2017,496,53,3.82,8592
"Kingdoms and Chaos (King's Dark Tidings, #4)",Kel Kade,2018,440,53,4.39,10424
"White Hot (Hidden Legacy, #2)",Ilona Andrews,2017,389,53,4.45,47040
"The Dark Glamour (666 Park Avenue, #2)",Gabriella Pierce,2011,,53,3.42,1677
"The Night Voice (Noble Dead Saga: Series 3, #5)",Barb Hendee,2016,432,53,4.13,337
"Seven Kings (Books of the Shaper, #2)",John R. Fultz,2013,496,52,3.69,135
"Hunter's Trail (Scarlett Bernard, #3)",Melissa F. Olson,2014,377,52,4.22,5617
"Soul Breaker (City of Crows, #1)",Clara Coulson,2015,345,52,4.06,984
"The Emperor's Railroad (Dreaming Cities, #1)",Guy Haley,2016,175,52,3.46,547
"Magic of Wind and Mist (The Hanna Duology, #1-2)",Cassandra Rose Clarke,2017,560,52,3.43,194
"Age of War (The Legends of the First Empire, #3)",Michael J. Sullivan,2018,462,52,4.42,18414
666 Park Avenue,Gabriella Pierce,2011,,52,3.25,4244
"Seven Princes (Books of the Shaper, #1)",John R. Fultz,2012,526,51,3.14,659
"Night Myst (Indigo Court, #1)",Yasmine Galenorn,2010,317,51,3.82,5140
